2023-11-11 18:50:44.697 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-11 18:50:44.698 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-11 18:50:44.698 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-11 18:50:44.923 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-11 18:50:44.927 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-11 18:50:44.928 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1532 ms
2023-11-11 18:50:45.577 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-11 18:50:45.800 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4b86f672, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74c7f954, org.springframework.security.web.context.SecurityContextPersistenceFilter@559d8991, org.springframework.security.web.header.HeaderWriterFilter@77b3cc41, org.springframework.security.web.authentication.logout.LogoutFilter@f279ead, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@673b18be, org.springframework.security.web.session.ConcurrentSessionFilter@2b4321f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@75d5140a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77176144, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@647a9827, org.springframework.security.web.session.SessionManagementFilter@34b65b5d, org.springframework.security.web.access.ExceptionTranslationFilter@1cc356d3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39413a0b]
2023-11-11 18:50:45.970 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-11 18:50:45.994 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-11 18:50:46.012 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-11 18:50:46.025 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 3.065 seconds (JVM running for 4.03)
2023-11-11 18:50:51.637 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
